CustomerID,Current_Balance,Failed_Debits,Total_Debits,Avg_Debit_Amount,Total_Monthly_Sub_Amount,Subscription_Count,Failed_Debit_Rate,Upcoming_Total_Debit,Balance_To_Debit_Ratio,Upcoming_Debit_Pct,Risk_Label,Risk_Score,Risk_Level,Risk_Reason
CUST100000,2652305.97,0,34,2197.1291176470586,11621.199999999999,1,0.0,645.29,20.0,0.00024329395148931475,0,0.0,Low,"1 subscription(s), Rs645 upcoming, Rs2,652,306 balance"
CUST100001,1126975.69,2,71,2128.525492957746,77161.83000000002,2,0.028169014084507043,4269.81,20.0,0.003788733011623348,1,0.0,Low,"Upcoming debit Rs4,270 is high; Monthly sub burden Rs77,162 (6.8% of balance)"
CUST100002,1345594.07,5,115,720.1197391304347,2203.06,1,0.043478260869565216,379.19,20.0,0.0002818011824323809,1,0.0,Low,"1 subscription(s), Rs379 upcoming, Rs1,345,594 balance"
CUST100003,2134585.12,4,133,1384.7425563909776,16325.129999999997,1,0.03007518796992481,1154.33,20.0,0.000540774874323119,1,0.0,Low,"1 subscription(s), Rs1,154 upcoming, Rs2,134,585 balance"
CUST100004,2426920.94,10,152,1239.2186842105264,118607.96999999999,3,0.06578947368421052,6626.0,20.0,0.0027302084261549946,2,1.0,High,"High failure rate (6.6% of debits failed); 3 active subscriptions (above average); Upcoming debit Rs6,626 is high; Monthly subscription spend Rs118,608"
CUST100005,659786.62,8,84,2749.9735714285716,17249.320000000003,2,0.09523809523809523,952.95,20.0,0.0014443305928210548,2,1.0,High,"High failure rate (9.5% of debits failed); Monthly subscription spend Rs17,249"
CUST100006,943755.76,9,156,1194.9473717948717,79490.50000000001,3,0.057692307692307696,4460.83,20.0,0.0047266784363784965,2,1.0,High,"3 active subscriptions (above average); Upcoming debit Rs4,461 is high; Monthly sub burden Rs79,491 (8.4% of balance)"
CUST100007,1508354.8,4,61,1871.0265573770491,3470.9399999999996,2,0.06557377049180328,192.43,20.0,0.0001275760848840074,2,1.0,High,High failure rate (6.6% of debits failed)
CUST100008,1055103.55,9,173,1002.6921387283237,36251.67,3,0.05202312138728324,2057.91,20.0,0.0019504341540695221,1,0.0,Low,"3 active subscriptions (above average); Monthly subscription spend Rs36,252"
CUST100009,996621.18,8,138,1714.7110144927535,102389.42000000001,2,0.057971014492753624,5733.4400000000005,20.0,0.00575287793903798,1,0.0,Low,"Upcoming debit Rs5,733 is high; Monthly sub burden Rs102,389 (10.3% of balance)"
CUST100010,1637357.13,2,88,1628.0157954545457,102672.68,4,0.022727272727272728,5694.9,20.0,0.0034781049873951445,2,1.0,High,"4 active subscriptions (above average); Upcoming debit Rs5,695 is high; Monthly sub burden Rs102,673 (6.3% of balance)"
CUST100011,897952.63,1,68,2469.238970588235,3115.3599999999997,2,0.014705882352941176,173.01,20.0,0.00019267163346912852,1,0.0,Low,"2 subscription(s), Rs173 upcoming, Rs897,953 balance"
CUST100012,1865100.85,5,96,1318.2960416666665,22197.280000000002,3,0.052083333333333336,1301.17,20.0,0.0006976405592223069,1,0.0,Low,3 active subscriptions (above average)
CUST100013,1778458.41,8,140,909.0911428571429,23836.819999999996,2,0.05714285714285714,1597.34,20.0,0.0008981598844360943,1,0.0,Low,"2 subscription(s), Rs1,597 upcoming, Rs1,778,458 balance"
CUST100014,504916.96,5,109,1706.3080733944955,69873.29999999999,4,0.045871559633027525,4574.0,20.0,0.009058915351150018,2,1.0,High,"4 active subscriptions (above average); Upcoming debit Rs4,574 is high; Monthly sub burden Rs69,873 (13.8% of balance)"
